event,Range,RangeRate,Speed,LaneDistanceLeft,LaneDistanceRight,Crossing,End of event,Along_s,Alat_s,Driving style
12,52.1875,-6,36.88334,-1.1875,2.25,0,0,0.394505656108598,-0.379809954751131,3
12,51.8125,-5.9375,36.78889,-1.175781,2.289063,0,0,0.415654977375566,-0.460907240524887,3
12,51.4375,-5.875,36.75,-1.179688,2.332031,0,0,0.502114253393665,-0.501654977493213,3
12,50.25,-5.6875,36.70278,-1.121094,2.355469,0,0,0.522503393665159,-0.538634615004525,3
12,49.8125,-5.625,36.61111,-1.09375,2.375,0,0,0.533407239819005,-0.513140270705882,3
12,49.375,-5.4375,36.56945,-1.078125,2.40625,0,0,0.523455882352941,-0.449073528307692,3
12,48.875,-5.25,36.53611,-1.027344,2.480469,0,0,0.562016968325792,-0.316026016769231,3
12,48.375,-5.1875,36.42222,-0.984375,2.5,0,0,0.570579185520362,-0.240227374099548,3
12,48,-5.125,36.37778,-0.9375,2.523438,0,0,0.550132352941177,-0.214645926090498,3
12,47.625,-5,36.32222,-0.9023438,2.566406,0,0,0.474804298642534,-0.18503506640724,3
12,47.125,-4.9375,36.25556,-0.828125,2.683594,0,0,0.481434389140272,-0.157959274687783,3
12,46.5625,-4.9375,36.13611,-0.7851563,2.71875,0,0,0.472349547511312,-0.164313347312217,3
